planning_area,single,married,widowed,divorced,year,gender
Tengah,0,0,0,0,2020,Female
Clementi,12112,23033,790,1396,2020,Male
Clementi,12625,23084,4119,2142,2020,Female
Geylang,16545,26402,1099,2036,2020,Male
Geylang,16571,25545,5512,3039,2020,Female
Hougang,33035,56561,1710,2830,2020,Male
Hougang,32440,55297,8155,5848,2020,Female
Pioneer,0,0,0,0,2020,Male
Pioneer,0,0,0,0,2020,Female
Punggol,14566,47533,834,1832,2020,Male
Punggol,14422,47858,4007,4295,2020,Female
Seletar,0,0,0,0,2020,Male
Seletar,0,0,0,0,2020,Female
Sembawang,12795,27969,508,1315,2020,Male
Sembawang,12324,27833,2788,2419,2020,Female
Sengkang,27733,67886,1267,2556,2020,Male
Sengkang,27571,67513,5964,5508,2020,Female
Serangoon,17095,29961,836,982,2020,Male
Serangoon,17510,29929,4571,2395,2020,Female
Simpang,0,0,0,0,2020,Male
Simpang,0,0,0,0,2020,Female
Southern Islands,0,0,0,0,2020,Male
Southern Islands,0,0,0,0,2020,Female
Sungei Kadut,0,0,0,0,2020,Male
Sungei Kadut,0,0,0,0,2020,Female
Tampines,37984,67101,1933,3067,2020,Male
Tampines,35236,66038,10169,5455,2020,Female
Tanglin,1924,5464,130,222,2020,Male
Tanglin,2406,5697,441,453,2020,Female
Toa Payoh,16196,28038,1297,2232,2020,Male
Toa Payoh,18510,28613,6289,3614,2020,Female
Tuas,0,0,0,0,2020,Male
Tuas,0,0,0,0,2020,Female
Western Islands,0,0,0,0,2020,Male
Western Islands,0,0,0,0,2020,Female
Western Water Catchment,0,0,0,0,2020,Male
Western Water Catchment,0,0,0,0,2020,Female
Woodlands,38570,62978,1831,3393,2020,Male
Woodlands,33500,62066,7289,5318,2020,Female
Yishun,29542,56296,1661,3743,2020,Male
Yishun,27667,55173,8080,6289,2020,Female
Downtown Core,490,739,13,62,2020,Male
Downtown Core,560,734,35,87,2020,Female
Marina East,0,0,0,0,2020,Male
Marina East,0,0,0,0,2020,Female
Marina South,0,0,0,0,2020,Male
Marina South,0,0,0,0,2020,Female
Museum,0,0,0,0,2020,Male
Museum,0,0,0,0,2020,Female
Newton,0,0,0,0,2020,Male
Newton,0,0,0,0,2020,Female
Orchard,0,0,0,0,2020,Male
Orchard,0,0,0,0,2020,Female
Outram,2847,4111,250,624,2020,Male
Outram,2231,3852,1165,556,2020,Female
Kallang,15057,24528,1031,2134,2020,Male
Kallang,13837,23776,5233,2737,2020,Female
Lim Chu Kang,0,0,0,0,2020,Male
Lim Chu Kang,0,0,0,0,2020,Female
