planning_area,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total,gender,year
Clementi,3910,4420,4480,4690,4850,5820,6630,7310,7600,6950,6960,6550,6630,6200,3350,2600,1480,1200,91630,Total,2015
Clementi,1970,2260,2260,2370,2420,2790,3180,3430,3650,3390,3490,3030,2890,2900,1610,1210,610,410,43870,Male,2015
Clementi,1940,2160,2220,2330,2430,3030,3450,3880,3940,3560,3480,3520,3740,3300,1740,1380,870,780,47760,Female,2015
Geylang,2190,2540,2700,3110,3710,4040,4230,4540,4540,4350,4620,4620,3980,3330,2050,1840,1330,1180,58870,Female,2015
Geylang,4490,5350,5420,6320,7540,8130,8180,8720,9000,8790,9610,9620,8070,6460,3890,3290,2240,1850,116960,Total,2015
Geylang,2300,2810,2720,3220,3830,4090,3940,4180,4460,4440,4990,5000,4100,3140,1840,1450,920,670,58090,Male,2015
Hougang,8390,10010,11670,14390,16830,16650,15010,14840,16700,17010,19620,19270,15060,10830,5970,4670,3050,2340,222310,Total,2015
Hougang,4110,5020,5700,6990,8240,8290,7770,7860,8590,8830,9830,9550,7390,5410,3150,2570,1850,1620,112750,Female,2015
Hougang,4280,4990,5980,7400,8590,8360,7240,6980,8120,8180,9790,9720,7670,5420,2810,2100,1200,720,109560,Male,2015
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Total,2015
Punggol,12000,9200,6190,4450,3940,6750,15690,13400,10610,6500,5540,4730,3960,3020,1560,1040,660,510,109750,Total,2015
Punggol,6140,4740,3170,2330,1940,2690,7130,6880,5630,3450,2890,2280,1830,1420,700,460,270,140,54100,Male,2015
Punggol,5860,4460,3030,2120,2000,4060,8560,6520,4980,3050,2650,2450,2130,1600,860,580,390,380,55650,Female,2015
Seletar,10,10,10,10,0,0,0,10,20,20,20,10,10,0,0,0,0,0,140,Male,2015
Seletar,0,10,10,10,10,0,0,10,20,20,20,10,10,0,0,0,0,0,140,Female,2015
Seletar,10,20,20,20,10,10,0,20,40,30,40,20,10,10,0,10,0,0,270,Total,2015
Sembawang,4460,5400,5370,4820,4490,5120,6380,7200,7650,6110,5670,4890,3440,2210,1280,930,620,490,76530,Total,2015
Sembawang,2190,2640,2590,2320,2200,2600,3440,3810,3940,2960,2740,2420,1680,1140,720,530,380,330,38620,Female,2015
Sembawang,2270,2760,2780,2500,2300,2520,2930,3400,3720,3150,2930,2470,1760,1070,560,400,240,160,37910,Male,2015
Sengkang,7460,7480,6130,5730,5420,7870,11430,10820,9450,7030,6740,6350,4660,3350,1790,1390,970,830,104890,Female,2015
Sengkang,15340,15180,12630,11840,10870,14330,21130,21090,19230,14700,13630,12640,9270,6430,3350,2410,1450,1160,206680,Total,2015
Sengkang,7880,7700,6500,6100,5450,6460,9710,10270,9790,7680,6890,6290,4610,3090,1570,1020,490,330,101790,Male,2015
Serangoon,2090,2600,3210,4080,4660,4560,3620,3490,3980,4080,4690,5180,4540,3330,1690,1300,790,510,58380,Male,2015
Serangoon,1980,2480,3000,3650,4500,4490,3900,3970,4560,4690,5350,5610,4620,3520,1990,1680,1140,1150,62290,Female,2015
Serangoon,4070,5080,6210,7730,9160,9040,7510,7460,8540,8770,10040,10780,9160,6850,3680,2980,1930,1660,120670,Total,2015
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2015
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Southern Islands,90,90,80,90,80,70,60,120,160,200,180,110,70,40,20,10,10,0,1480,Total,2015
Southern Islands,40,50,50,60,50,40,40,60,90,100,70,40,30,20,10,10,0,0,760,Female,2015
Southern Islands,50,30,40,20,40,30,20,60,70,100,110,70,40,20,10,10,0,0,720,Male,2015
Sungei Kadut,20,20,20,20,20,30,30,20,40,40,20,40,30,30,20,20,10,10,430,Male,2015
Sungei Kadut,30,30,40,40,40,50,50,40,60,60,50,70,50,60,40,40,30,50,850,Total,2015
Sungei Kadut,10,10,20,30,20,20,20,20,20,30,30,30,20,30,20,20,20,40,420,Female,2015
Tampines,11210,12260,13820,18180,21380,20420,18820,18000,18310,19840,22810,22490,17360,11470,5500,4300,2830,2240,261230,Total,2015
Tampines,5850,6320,7020,9400,10970,10300,9090,8730,8730,9260,10900,10960,8860,5750,2530,1830,1050,660,128200,Male,2015
Tampines,5360,5940,6800,8790,10410,10120,9730,9270,9580,10580,11910,11530,8500,5720,2970,2480,1780,1580,133030,Female,2015
Tanglin,930,1290,1110,1010,960,880,1140,1580,1990,1800,1530,1260,1140,940,540,380,250,270,19000,Total,2015
Tanglin,450,580,510,430,440,380,450,670,920,880,770,610,550,460,270,170,120,110,8770,Male,2015
Tanglin,480,720,600,580,530,500,690,910,1070,920,760,660,590,470,270,210,140,160,10230,Female,2015
Toa Payoh,5040,5650,5740,6470,7330,7620,8440,9040,10140,9440,9730,9910,8290,7410,5040,4500,2810,2350,124940,Total,2015
Toa Payoh,2610,2940,2960,3280,3690,3640,3890,4260,4850,4600,4800,4920,4000,3340,2210,1910,1120,820,59840,Male,2015
Toa Payoh,2430,2720,2790,3190,3640,3980,4550,4780,5280,4830,4930,4990,4290,4070,2830,2600,1680,1540,65100,Female,2015
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,Total,2015
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2015
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2015
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
Western Water Catchment,40,50,50,40,130,80,40,90,100,60,60,60,40,10,10,10,10,30,900,Total,2015
Western Water Catchment,30,20,30,20,20,30,20,40,50,30,40,40,20,10,10,0,0,0,400,Male,2015
Western Water Catchment,20,20,30,20,110,50,30,40,50,30,30,20,10,0,10,0,10,30,500,Female,2015
Woodlands,11960,14430,17000,21030,20050,17920,18460,18680,21110,22230,21060,16810,11640,7630,4060,3090,1890,1250,250290,Total,2015
Woodlands,6200,7400,8780,10830,10320,9000,9060,9000,10010,11110,11060,8800,6110,3760,1870,1380,790,440,125900,Male,2015
Woodlands,5770,7030,8210,10210,9730,8920,9400,9680,11110,11120,10000,8010,5530,3880,2190,1710,1100,810,124380,Female,2015
Yishun,5250,5060,5410,6270,7380,8350,8350,7540,7480,7350,8580,7860,6250,4080,2110,1440,770,470,99990,Male,2015
Yishun,10230,9950,10440,12190,14650,17010,17040,15420,15110,14950,17360,15950,12310,8340,4430,3190,1940,1480,201970,Total,2015
Yishun,4990,4890,5030,5920,7260,8660,8690,7880,7630,7600,8780,8090,6060,4260,2320,1740,1160,1010,101980,Female,2015
Downtown Core,120,100,100,120,140,210,330,370,360,330,280,280,250,250,140,140,70,130,3720,Total,2015
Downtown Core,50,60,40,60,60,100,160,170,190,180,160,160,110,120,70,60,20,80,1860,Male,2015
Downtown Core,70,50,60,60,80,110,160,190,170,150,120,130,140,120,80,80,50,50,1860,Female,2015
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2015
