planning_area,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,total,gender,year
Hougang,4680,4700,5140,5860,7300,8860,8390,7400,7090,8040,7930,9450,9350,7340,4950,2410,1590,1030,111490,Male,2020
Hougang,4440,4750,5180,5660,6860,8740,8800,8070,8000,8460,8690,9580,9270,7200,5190,2880,2200,2130,116070,Female,2020
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Total,2020
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Punggol,16160,15330,11410,8570,6820,8330,17200,22190,17420,14040,9290,7890,6440,5370,3990,1900,1190,940,174450,Total,2020
Punggol,8190,7990,5900,4380,3520,3690,7400,10600,8890,7380,4840,4120,3030,2490,1840,850,510,320,85940,Male,2020
Punggol,7960,7340,5510,4190,3300,4640,9800,11590,8520,6660,4460,3770,3410,2880,2150,1050,680,630,88520,Female,2020
Seletar,10,10,20,20,30,10,10,10,20,40,40,30,20,10,10,0,10,0,300,Total,2020
Seletar,10,10,10,10,10,0,0,10,20,20,20,20,10,10,10,0,0,0,160,Female,2020
Seletar,0,10,10,10,20,0,10,0,10,20,20,10,10,10,0,0,0,0,140,Male,2020
Sembawang,6310,5820,6400,6400,6030,7690,9130,8570,8630,8960,7310,6720,5530,3790,2370,1330,900,780,102640,Total,2020
Sembawang,3190,2990,3250,3270,3060,3620,4490,4150,4070,4330,3740,3480,2840,1920,1120,550,380,250,50710,Male,2020
Sembawang,3120,2830,3150,3130,2960,4080,4640,4410,4550,4620,3560,3250,2700,1870,1240,770,520,520,51930,Female,2020
Sengkang,8370,9130,8080,7010,6750,6820,9630,11910,10980,10260,8260,7520,6690,4950,3230,1520,890,480,122480,Male,2020
Sengkang,16380,17600,15930,13630,13180,14320,21500,25100,22600,20390,15940,14960,13640,10070,6820,3390,2160,1790,249370,Total,2020
Sengkang,8010,8470,7840,6620,6430,7500,11860,13190,11610,10130,7670,7440,6950,5120,3590,1870,1270,1300,126890,Female,2020
Serangoon,3550,4380,5190,6160,7520,9320,8020,6930,7240,8220,8390,9410,10090,8410,6210,3220,2470,2190,116900,Total,2020
Serangoon,1720,2060,2520,2970,3580,4650,4040,3670,3900,4430,4490,5030,5290,4270,3250,1800,1450,1430,60530,Female,2020
Serangoon,1840,2320,2660,3190,3940,4670,3980,3250,3350,3790,3900,4380,4800,4140,2970,1430,1020,750,56370,Male,2020
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2020
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Southern Islands,60,60,40,30,30,40,30,50,80,110,110,120,80,40,20,10,0,0,920,Male,2020
Southern Islands,50,80,70,70,60,50,60,100,90,120,100,80,50,30,20,10,10,0,1020,Female,2020
Southern Islands,110,140,110,100,90,90,90,150,170,230,210,190,120,70,30,20,10,0,1940,Total,2020
Sungei Kadut,10,20,20,20,30,30,20,30,20,20,30,30,30,20,20,10,20,20,370,Female,2020
Sungei Kadut,20,40,40,30,50,50,40,50,40,60,60,60,60,40,40,20,30,20,750,Total,2020
Sungei Kadut,10,20,20,10,20,20,20,20,20,40,30,20,30,30,20,10,20,10,380,Male,2020
Tampines,11740,11480,11990,13290,17590,21840,19990,18120,16880,17060,18730,21570,21360,16360,10540,4810,3490,3060,259900,Total,2020
Tampines,5940,5970,6220,6760,9030,11080,10000,8620,8170,8030,8700,10260,10350,8230,5160,2150,1390,940,127000,Male,2020
Tampines,5790,5510,5770,6530,8570,10770,9990,9510,8710,9030,10030,11310,11010,8120,5380,2660,2110,2120,132900,Female,2020
Tanglin,530,740,640,510,440,440,470,660,890,1050,870,740,600,530,450,250,160,140,10100,Male,2020
Tanglin,1070,1590,1370,1100,1000,1010,1200,1630,2000,2200,1760,1440,1250,1100,920,510,340,340,21810,Total,2020
Tanglin,540,850,730,600,560,570,730,970,1110,1150,880,690,640,570,480,260,190,200,11700,Female,2020
Toa Payoh,4350,5060,5300,5480,6180,8170,8360,8010,8580,9490,8780,9150,9320,7810,6760,4370,3650,3050,121850,Total,2020
Toa Payoh,2190,2670,2750,2790,3080,3940,4030,3660,4010,4530,4250,4400,4540,3740,2980,1830,1440,1070,57890,Male,2020
Toa Payoh,2170,2390,2550,2690,3100,4230,4320,4350,4570,4960,4540,4750,4780,4070,3780,2540,2210,1970,63960,Female,2020
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,Total,2020
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Total,2020
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Western Water Catchment,10,30,10,10,20,20,10,30,40,20,20,30,30,10,0,0,0,0,290,Male,2020
Western Water Catchment,30,50,20,20,130,50,30,60,70,40,30,50,50,10,0,0,0,0,640,Total,2020
Western Water Catchment,20,20,10,10,110,20,20,30,30,20,20,20,20,0,0,0,0,0,350,Female,2020
Woodlands,11490,12540,14460,17110,21430,20740,18160,17730,17910,20320,21560,20200,15890,10830,6980,3530,2410,1850,255130,Total,2020
Woodlands,5870,6480,7420,8900,11110,10630,8960,8520,8630,9660,10680,10580,8290,5590,3380,1600,1020,680,127990,Male,2020
Woodlands,5630,6070,7040,8210,10320,10100,9210,9210,9280,10660,10870,9620,7610,5240,3610,1920,1390,1170,127150,Female,2020
Yishun,11670,11480,10950,11250,13020,16710,18780,17930,16220,15820,15350,17760,15820,12110,7980,3960,2670,2150,221610,Total,2020
Yishun,6090,5870,5640,5880,6660,8220,9110,8770,7950,7790,7520,8730,7740,6050,3830,1790,1110,740,109470,Male,2020
Yishun,5580,5610,5310,5370,6360,8490,9670,9160,8280,8020,7830,9020,8070,6070,4150,2170,1570,1410,112140,Female,2020
Downtown Core,50,60,30,40,50,90,160,200,160,170,130,130,120,70,70,20,20,50,1590,Male,2020
Downtown Core,110,110,60,100,100,230,330,410,340,330,250,220,190,130,130,50,50,70,3190,Total,2020
Downtown Core,50,60,30,60,60,130,170,210,180,160,120,90,80,70,60,30,20,20,1600,Female,2020
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2020
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2020
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Museum,20,30,10,20,20,30,50,70,60,60,40,40,20,20,20,10,0,10,510,Total,2020
Museum,10,20,10,10,10,10,30,40,30,30,20,20,10,10,10,10,0,0,250,Female,2020
Museum,10,10,10,10,10,10,30,30,30,30,20,20,10,10,10,0,0,10,260,Male,2020
Newton,190,260,260,190,170,230,290,360,440,440,340,290,240,200,180,80,70,80,4310,Female,2020
Newton,380,590,520,380,340,390,470,620,770,850,690,600,470,400,370,160,120,150,8260,Total,2020
Newton,190,330,260,180,170,160,180,260,330,410,350,310,230,200,190,80,50,70,3950,Male,2020
Orchard,50,50,60,40,30,30,60,70,90,100,70,50,70,60,50,20,20,10,920,Total,2020
Orchard,30,20,40,30,20,30,40,40,40,40,40,30,30,30,20,10,10,0,490,Female,2020
Orchard,20,20,20,20,10,10,30,30,40,50,30,30,40,20,30,10,10,0,430,Male,2020
Outram,300,410,380,270,340,460,540,680,790,670,600,600,650,630,620,380,370,460,9130,Female,2020
Outram,350,390,360,270,340,440,530,590,710,760,640,800,810,730,630,330,290,240,9210,Male,2020
Outram,650,800,750,530,680,900,1070,1270,1500,1430,1230,1400,1460,1360,1250,710,660,700,18340,Total,2020
Kallang,1960,1950,2020,2100,2280,3080,3700,3880,3970,4110,3500,3600,3650,3480,3000,1840,1560,1590,51260,Female,2020
Kallang,3930,4130,4100,4280,4560,5980,7180,7290,7830,8140,7320,7490,7750,6930,5760,3420,2760,2430,101290,Total,2020
Kallang,1980,2180,2080,2180,2290,2900,3480,3410,3860,4030,3820,3900,4100,3450,2760,1580,1190,850,50040,Male,2020
Lim Chu Kang,10,0,10,10,10,10,0,10,0,10,10,10,10,10,10,0,0,0,110,Total,2020
Lim Chu Kang,0,0,10,0,0,0,0,0,0,10,0,10,10,10,10,0,0,0,60,Male,2020
Lim Chu Kang,0,0,0,10,10,0,0,0,0,0,10,10,0,0,0,0,0,0,50,Female,2020
Mandai,60,90,120,130,170,170,120,130,140,190,160,180,150,90,80,40,30,30,2090,Total,2020
Mandai,30,40,60,70,80,80,50,70,70,90,70,90,70,50,40,20,20,10,990,Male,2020
Mandai,40,50,60,70,90,90,70,60,80,100,90,90,80,40,40,30,20,20,1100,Female,2020
Marine Parade,990,1210,1200,1180,1210,1290,1300,1730,2050,2190,1730,1690,1520,1400,1390,870,790,800,24520,Female,2020
Marine Parade,910,1210,1230,1190,1180,1210,1080,1350,1680,1960,1710,1590,1500,1160,1090,680,550,440,21700,Male,2020
Marine Parade,1890,2420,2420,2360,2390,2500,2390,3070,3730,4150,3440,3270,3020,2560,2480,1550,1340,1240,46220,Total,2020
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Total,2020
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
Novena,2170,2890,2620,2270,2400,2800,3270,3670,4170,4330,3610,3400,3070,2710,2280,1410,1140,1140,49330,Total,2020
Novena,1140,1690,1370,1200,1220,1320,1510,1610,1940,2140,1800,1690,1490,1280,1040,640,470,400,23930,Male,2020
Novena,1030,1200,1240,1080,1180,1480,1750,2060,2230,2200,1810,1710,1580,1420,1240,770,670,740,25400,Female,2020
Pasir Ris,2890,3360,3960,4820,6420,6890,4430,4180,4580,5190,5800,7090,5260,3530,2100,960,620,460,72540,Male,2020
Pasir Ris,2800,3180,3740,4540,6030,6500,4610,4710,5210,5660,7210,6740,4940,3220,2230,1270,1000,980,74570,Female,2020
Pasir Ris,5690,6550,7700,9360,12450,13400,9040,8890,9790,10850,13010,13830,10200,6750,4330,2230,1620,1440,147110,Total,2020
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Total,2020
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
River Valley,240,340,310,310,240,310,350,510,560,560,430,320,290,210,200,120,90,80,5450,Female,2020
River Valley,220,270,240,210,180,220,250,350,480,520,450,340,280,230,200,100,50,50,4620,Male,2020
River Valley,450,610,560,530,410,530,600,850,1040,1080,880,650,570,450,400,220,140,120,10070,Total,2020
Rochor,210,200,230,240,310,340,460,490,540,600,470,520,530,440,350,220,150,240,6530,Male,2020
Rochor,200,230,250,280,280,420,460,480,530,510,460,430,480,480,440,260,210,190,6590,Female,2020
Rochor,410,430,480,520,590,760,920,970,1070,1110,930,960,1020,910,790,490,350,430,13120,Total,2020
Singapore River,120,140,100,70,60,70,120,210,210,190,130,90,70,50,50,20,20,10,1730,Female,2020
Singapore River,90,120,90,50,50,50,70,150,200,200,140,110,70,50,50,30,20,20,1540,Male,2020
Singapore River,210,260,190,120,100,130,180,360,410,380,270,200,140,100,90,50,30,30,3260,Total,2020
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Total,2020
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male,2020
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Female,2020
