planning_area,employed,unemployed,inactive,year,gender
River Valley,2988,111,807,2020,Male
Rochor,0,0,0,2020,Male
Singapore River,0,0,0,2020,Male
Straits View,0,0,0,2020,Male
Ang Mo Kio,41357,2853,32183,2020,Female
Bedok,68078,4725,52291,2020,Female
Bishan,22925,1213,15858,2020,Female
Boon Lay,0,0,0,2020,Female
Bukit Batok,41742,3181,26774,2020,Female
Bukit Merah,38329,2031,27404,2020,Female
Choa Chu Kang,50704,3162,31331,2020,Female
Bukit Panjang,35380,2217,24010,2020,Female
Jurong East,19196,1485,14835,2020,Female
Queenstown,23799,1747,18206,2020,Female
Jurong West,66225,3821,43267,2020,Female
Bukit Timah,17468,974,15286,2020,Female
Central Water Catchment,0,0,0,2020,Female
Changi,0,0,0,2020,Female
Changi Bay,0,0,0,2020,Female
Tengah,0,0,0,2020,Female
Clementi,22499,1709,17762,2020,Female
Geylang,29119,1536,20012,2020,Female
Hougang,61568,3687,36484,2020,Female
Pioneer,0,0,0,2020,Female
Punggol,45171,2798,22613,2020,Female
Seletar,0,0,0,2020,Female
Sembawang,27629,1857,15878,2020,Female
Sengkang,65172,3685,37699,2020,Female
Serangoon,30411,1925,22068,2020,Female
Simpang,0,0,0,2020,Female
Southern Islands,0,0,0,2020,Female
Sungei Kadut,0,0,0,2020,Female
Tampines,65780,4345,46772,2020,Female
Tanglin,4723,293,3981,2020,Female
Toa Payoh,31947,2259,22820,2020,Female
Tuas,0,0,0,2020,Female
Western Islands,0,0,0,2020,Female
Western Water Catchment,0,0,0,2020,Female
Woodlands,61252,4877,42044,2020,Female
Yishun,56092,4037,37079,2020,Female
Downtown Core,938,31,447,2020,Female
Marina East,0,0,0,2020,Female
Marina South,0,0,0,2020,Female
Museum,0,0,0,2020,Female
Newton,0,0,0,2020,Female
Orchard,0,0,0,2020,Female
Outram,4331,276,3197,2020,Female
Kallang,25863,1782,17938,2020,Female
Lim Chu Kang,0,0,0,2020,Female
Mandai,0,0,0,2020,Female
Marine Parade,10723,747,9569,2020,Female
North-Eastern Islands,0,0,0,2020,Female
Novena,12014,760,8461,2020,Female
Pasir Ris,39252,2787,24843,2020,Female
Paya Lebar,0,0,0,2020,Female
River Valley,2383,162,1970,2020,Female
Rochor,0,0,0,2020,Female
Singapore River,0,0,0,2020,Female
Straits View,0,0,0,2020,Female
